31	2642
126831	2658
32631	-8726
278431	742
217831	454
152231	4789
88031	-308
205631	-3445
176631	736
158631	3487
199831	-2076
64031	-317
81631	-1379
275231	-2540
148031	-3983
84231	5289
117631	-2636
240031	1015
213831	-267
92831	-2670
96231	1501
97431	-4509
97631	-436
107031	-651
111831	-2353
115831	2373
130231	-661
132031	554
147231	-6310
204831	-3930
219031	457
282631	3936
15231	213
72031	-10720
109231	779
143031	1032
168031	3638
194631	298
260231	-4252
264231	1730
265231	-284
431	8041
2231	-2697
4231	-4655
24231	-4707
26631	806
28431	-3873
29231	236
75831	3500
120431	-197
168631	-2856
283431	2298
288231	856
295831	-3693
12631	-507
37431	-5462
120631	-821
124231	-6084
138431	-2977
141231	-3520
266031	-829
266231	-1295
1231	-131
149231	-3923
170631	-1212
180831	1369
82831	1923
142431	2434
31431	-801
276831	-215
290431	-2965
274631	1086
93631	841
279631	1244
127431	-1269
50831	1884
159831	-221
196631	-481
162431	-1539
43031	1802
51431	4220
166231	-228
33231	1618
43231	-840
124031	5820
215631	-2283
280831	1067
219231	35
20231	-1952
49831	4505
156031	-407
71031	1097
52231	51846
31231	1908
207031	1917
230031	-908
219431	-810
123631	-336
9831	32918
231	1487
150031	3556
38231	-1426
47831	1751
197431	-1275
52831	742
86231	-3029
66631	-1288
298631	4750
91231	2192
292431	2180
11431	313
39631	1503
131431	3963
68231	5285
233431	4847
142631	2527
70031	-91
203631	-1103
206831	1652
200431	65
252231	-1237
284031	-1673
246031	-405
125831	-1031
85631	-1429
17631	355
30631	-965
155031	-493
190231	142
204031	3480
116631	4678
119431	-15
145831	-136
121631	-315
57431	-8308
61431	2062
90231	4775
43831	2779
120231	-1727
176031	298
80631	8612
102831	12088
30831	1811
127631	-32
132431	387
109831	2920
200831	2482
214231	462
57231	17162
101831	-2536
201231	-756
44031	-1296
14231	-4006
35231	12388
233031	198
220431	-686
291831	-353
179031	4137
124631	5507
51631	7940
193831	-1701
201431	-984
270631	32
2831	1119
3831	5042
97231	5996
21631	-133
22631	598
236831	165
220631	1668
40431	108
16431	4433
176431	-150
49431	1288
222031	-363
254431	363
13831	-646
80031	-3930
104631	-1982
202831	-1388
243631	-1161
142831	658
32231	44998
190831	-2093
81431	3757
119031	-466
79231	7090
103631	-725
119231	0
124831	1888
201831	6354
251831	-681
218031	-17037
122031	-1918
41831	-1165
7831	-2161
31031	-1066
63031	-1540
1031	2289
202031	-11
234231	-1164
212831	-1749
296431	2798
38831	-2460
293431	-1981
50231	3248
68631	2436
250431	693
172631	-1339
61631	-1271
61831	-5580
296831	-10887
150431	-4072
187831	1064
285631	857
94431	-446
39031	1434
296631	-1928
229231	4
28631	-4722
132231	-444
146431	-1492
121231	7089
121831	176
10631	-2651
